id,customer_id,tenant_id,channel,interaction_type,content,created_at
f13e38dc-3fc3-442e-b8ae-a1666821851d,3e075676-0f2e-4832-8147-ef1559236359,1,site,click,Interaction Content,2025-12-09T03:18:14.419Z
3cfca146-aebd-4310-829b-fc16f09e8171,3e075676-0f2e-4832-8147-ef1559236359,1,whatsapp,view,Interaction Content,2025-12-09T03:18:14.419Z
1b9ed801-5bfa-4356-8b03-25dd80b4a751,3e075676-0f2e-4832-8147-ef1559236359,1,site,message_sent,Interaction Content,2025-12-09T03:18:14.419Z
17277584-82ef-46b7-af0c-8b662bdf722a,54db49cf-1b3b-4ff4-91f7-fcd53f400d33,1,whatsapp,view,Interaction Content,2025-12-09T03:18:14.419Z
e6300e68-c16b-4cb0-85b6-73cd66229f38,54db49cf-1b3b-4ff4-91f7-fcd53f400d33,1,site,message_sent,Interaction Content,2025-12-09T03:18:14.419Z
1255572d-45d9-4433-85f6-a64e7fa2009a,54db49cf-1b3b-4ff4-91f7-fcd53f400d33,1,email,message_sent,Interaction Content,2025-12-09T03:18:14.419Z
261f01c1-b4bd-4238-8167-976dc5d7046d,54db49cf-1b3b-4ff4-91f7-fcd53f400d33,1,site,view,Interaction Content,2025-12-09T03:18:14.419Z
9676ae3a-6bb8-4b5a-b133-088d1dd900c1,54db49cf-1b3b-4ff4-91f7-fcd53f400d33,1,site,view,Interaction Content,2025-12-09T03:18:14.419Z
79e54ad9-fec4-4b40-8401-d90704a90233,80ba82c2-eb7b-4cdd-93be-3376ddcf5269,1,whatsapp,message_sent,Interaction Content,2025-12-09T03:18:14.419Z
0e4f055a-bc45-4b54-9eff-351b054945c2,884b8639-90c2-49ae-ae8b-cb620b6f5a71,1,site,view,Interaction Content,2025-12-09T03:18:14.419Z
61b1137b-cd98-4585-89e1-3c3726ff4bef,884b8639-90c2-49ae-ae8b-cb620b6f5a71,1,whatsapp,view,Interaction Content,2025-12-09T03:18:14.419Z
dd08e638-682e-4203-98f4-7bb9ca9b80cc,884b8639-90c2-49ae-ae8b-cb620b6f5a71,1,site,view,Interaction Content,2025-12-09T03:18:14.419Z
450ed97f-aed2-4551-b69f-20ee7240cda0,884b8639-90c2-49ae-ae8b-cb620b6f5a71,1,whatsapp,view,Interaction Content,2025-12-09T03:18:14.419Z
43facceb-e837-4845-90d0-2d43653b2bd3,884b8639-90c2-49ae-ae8b-cb620b6f5a71,1,whatsapp,message_sent,Interaction Content,2025-12-09T03:18:14.419Z
d8f670b7-2207-4b3d-9400-be3fb8ebd2bc,d6e11ac2-779c-4126-aa95-16e29250dc7d,1,whatsapp,click,Interaction Content,2025-12-09T03:18:14.419Z
f53ae890-12b3-4cec-be63-88515d032b29,b3d29ee2-55f5-44a0-ab8f-03ce239b6de8,1,whatsapp,click,Interaction Content,2025-12-09T03:18:14.419Z
92123518-d746-4ba2-8b1c-6a89db9236f2,b3d29ee2-55f5-44a0-ab8f-03ce239b6de8,1,email,message_sent,Interaction Content,2025-12-09T03:18:14.419Z
ea17b99d-0c69-45f6-8a1e-22f1ee143893,b3d29ee2-55f5-44a0-ab8f-03ce239b6de8,1,whatsapp,view,Interaction Content,2025-12-09T03:18:14.419Z
fc8e777e-6779-454b-94fe-85341cd339ca,b3d29ee2-55f5-44a0-ab8f-03ce239b6de8,1,whatsapp,click,Interaction Content,2025-12-09T03:18:14.419Z
3365df98-3c81-442c-a9ad-94fb35f02fb1,516ff421-260e-41da-a050-2e1be4aedeb3,1,site,click,Interaction Content,2025-12-09T03:18:14.419Z
