tenant_id,project_id,title,status,priority,created_at
1,1,Task 1 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,3,Task 2 - Testing,todo,medium,2025-12-11T03:07:02.076Z
1,2,Task 3 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,3,Task 4 - Development,todo,medium,2025-12-11T03:07:02.076Z
1,3,Task 5 - Testing,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 6 - Testing,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 7 - Development,todo,medium,2025-12-11T03:07:02.076Z
1,13,Task 8 - Development,done,medium,2025-12-11T03:07:02.076Z
1,2,Task 9 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,1,Task 10 - Development,todo,medium,2025-12-11T03:07:02.076Z
1,2,Task 11 - Development,done,medium,2025-12-11T03:07:02.076Z
1,3,Task 12 - Development,todo,medium,2025-12-11T03:07:02.076Z
1,13,Task 13 - Testing,todo,medium,2025-12-11T03:07:02.076Z
1,3,Task 14 - Analysis,in_progress,medium,2025-12-11T03:07:02.076Z
1,3,Task 15 - Testing,done,medium,2025-12-11T03:07:02.076Z
1,2,Task 16 - Analysis,todo,medium,2025-12-11T03:07:02.076Z
1,3,Task 17 - Development,todo,medium,2025-12-11T03:07:02.076Z
1,1,Task 18 - Testing,in_progress,medium,2025-12-11T03:07:02.076Z
1,3,Task 19 - Testing,done,medium,2025-12-11T03:07:02.076Z
1,3,Task 20 - Review,done,medium,2025-12-11T03:07:02.076Z
1,3,Task 21 - Development,todo,medium,2025-12-11T03:07:02.076Z
1,3,Task 22 - Development,done,medium,2025-12-11T03:07:02.076Z
1,2,Task 23 - Review,todo,medium,2025-12-11T03:07:02.076Z
1,1,Task 24 - Testing,todo,medium,2025-12-11T03:07:02.076Z
1,13,Task 25 - Testing,done,medium,2025-12-11T03:07:02.076Z
1,1,Task 26 - Development,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 27 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,3,Task 28 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,2,Task 29 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 30 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 31 - Analysis,in_progress,medium,2025-12-11T03:07:02.076Z
1,3,Task 32 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 33 - Analysis,todo,medium,2025-12-11T03:07:02.076Z
1,13,Task 34 - Development,done,medium,2025-12-11T03:07:02.076Z
1,1,Task 35 - Development,todo,medium,2025-12-11T03:07:02.076Z
1,1,Task 36 - Review,todo,medium,2025-12-11T03:07:02.076Z
1,3,Task 37 - Testing,done,medium,2025-12-11T03:07:02.076Z
1,2,Task 38 - Analysis,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 39 - Review,done,medium,2025-12-11T03:07:02.076Z
1,2,Task 40 - Analysis,done,medium,2025-12-11T03:07:02.076Z
1,3,Task 41 - Analysis,in_progress,medium,2025-12-11T03:07:02.076Z
1,1,Task 42 - Development,done,medium,2025-12-11T03:07:02.076Z
1,13,Task 43 - Testing,todo,medium,2025-12-11T03:07:02.076Z
1,13,Task 44 - Development,done,medium,2025-12-11T03:07:02.076Z
1,1,Task 45 - Development,done,medium,2025-12-11T03:07:02.076Z
1,13,Task 46 - Review,done,medium,2025-12-11T03:07:02.076Z
1,1,Task 47 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,2,Task 48 - Review,todo,medium,2025-12-11T03:07:02.076Z
1,13,Task 49 - Development,done,medium,2025-12-11T03:07:02.076Z
1,13,Task 50 - Development,in_progress,medium,2025-12-11T03:07:02.076Z
1,3,Task 51 - Testing,in_progress,medium,2025-12-11T03:07:02.076Z
1,1,Task 52 - Analysis,done,medium,2025-12-11T03:07:02.076Z
1,1,Task 53 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 54 - Analysis,done,medium,2025-12-11T03:07:02.076Z
1,3,Task 55 - Analysis,todo,medium,2025-12-11T03:07:02.076Z
1,13,Task 56 - Development,in_progress,medium,2025-12-11T03:07:02.076Z
1,3,Task 57 - Testing,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 58 - Analysis,in_progress,medium,2025-12-11T03:07:02.076Z
1,1,Task 59 - Development,done,medium,2025-12-11T03:07:02.076Z
1,13,Task 60 - Development,done,medium,2025-12-11T03:07:02.076Z
1,1,Task 61 - Analysis,todo,medium,2025-12-11T03:07:02.076Z
1,1,Task 62 - Development,done,medium,2025-12-11T03:07:02.076Z
1,3,Task 63 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 64 - Analysis,todo,medium,2025-12-11T03:07:02.076Z
1,2,Task 65 - Testing,done,medium,2025-12-11T03:07:02.076Z
1,3,Task 66 - Review,done,medium,2025-12-11T03:07:02.076Z
1,13,Task 67 - Analysis,in_progress,medium,2025-12-11T03:07:02.076Z
1,1,Task 68 - Testing,todo,medium,2025-12-11T03:07:02.076Z
1,3,Task 69 - Testing,todo,medium,2025-12-11T03:07:02.076Z
1,2,Task 70 - Review,done,medium,2025-12-11T03:07:02.076Z
1,2,Task 71 - Review,in_progress,medium,2025-12-11T03:07:02.076Z
1,3,Task 72 - Review,done,medium,2025-12-11T03:07:02.076Z
1,2,Task 73 - Testing,todo,medium,2025-12-11T03:07:02.076Z
1,13,Task 74 - Testing,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 75 - Development,done,medium,2025-12-11T03:07:02.076Z
1,1,Task 76 - Development,todo,medium,2025-12-11T03:07:02.076Z
1,2,Task 77 - Review,done,medium,2025-12-11T03:07:02.076Z
1,2,Task 78 - Analysis,todo,medium,2025-12-11T03:07:02.076Z
1,2,Task 79 - Testing,in_progress,medium,2025-12-11T03:07:02.076Z
1,3,Task 80 - Testing,todo,medium,2025-12-11T03:07:02.076Z
1,1,Task 81 - Analysis,todo,medium,2025-12-11T03:07:02.076Z
1,2,Task 82 - Testing,done,medium,2025-12-11T03:07:02.076Z
1,3,Task 83 - Development,todo,medium,2025-12-11T03:07:02.076Z
1,1,Task 84 - Development,in_progress,medium,2025-12-11T03:07:02.076Z
1,13,Task 85 - Testing,todo,medium,2025-12-11T03:07:02.076Z
1,3,Task 86 - Testing,done,medium,2025-12-11T03:07:02.076Z
1,3,Task 87 - Analysis,todo,medium,2025-12-11T03:07:02.076Z
1,2,Task 88 - Testing,done,medium,2025-12-11T03:07:02.076Z
1,1,Task 89 - Review,todo,medium,2025-12-11T03:07:02.076Z
