id,customer_id,tenant_id,conversion_type,conversion_value,currency,conversion_path,touchpoints_count,first_touch_channel,last_touch_channel,attribution_last_click,attribution_first_click,attribution_linear,attribution_time_decay,order_id,product_ids,campaign_id,converted_at
1,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,purchase,1520.65,BRL,"[{""channel"": ""google"", ""timestamp"": ""2024-01-01""}, {""channel"": ""email"", ""timestamp"": ""2024-01-05""}, {""channel"": ""website"", ""timestamp"": ""2024-01-07""}]",9,instagram,whatsapp,"{""email"": 1.0}","{""google"": 1.0}","{""google"": 0.33, ""email"": 0.33, ""website"": 0.34}","{""google"": 0.2, ""email"": 0.3, ""website"": 0.5}",ORD_97877,"[20, 72]",,2025-11-15 13:50:49.178940
2,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,purchase,1885.57,BRL,"[{""channel"": ""google"", ""timestamp"": ""2024-01-01""}, {""channel"": ""email"", ""timestamp"": ""2024-01-05""}, {""channel"": ""website"", ""timestamp"": ""2024-01-07""}]",6,direct,website,"{""email"": 1.0}","{""google"": 1.0}","{""google"": 0.33, ""email"": 0.33, ""website"": 0.34}","{""google"": 0.2, ""email"": 0.3, ""website"": 0.5}",ORD_97984,[69],,2025-11-21 13:50:49.178978
3,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,lead,1197.25,BRL,"[{""channel"": ""google"", ""timestamp"": ""2024-01-01""}, {""channel"": ""email"", ""timestamp"": ""2024-01-05""}, {""channel"": ""website"", ""timestamp"": ""2024-01-07""}]",9,facebook,website,"{""email"": 1.0}","{""google"": 1.0}","{""google"": 0.33, ""email"": 0.33, ""website"": 0.34}","{""google"": 0.2, ""email"": 0.3, ""website"": 0.5}",ORD_98325,"[55, 71]",,2025-11-14 13:50:49.179003
4,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,purchase,1627.98,BRL,"[{""channel"": ""google"", ""timestamp"": ""2024-01-01""}, {""channel"": ""email"", ""timestamp"": ""2024-01-05""}, {""channel"": ""website"", ""timestamp"": ""2024-01-07""}]",7,facebook,email,"{""email"": 1.0}","{""google"": 1.0}","{""google"": 0.33, ""email"": 0.33, ""website"": 0.34}","{""google"": 0.2, ""email"": 0.3, ""website"": 0.5}",ORD_52373,"[31, 37]",,2025-10-19 13:50:49.179022
5,80d9e10b-bc2f-4e6a-ac30-b833c9e8c1fa,226,purchase,1720.86,BRL,"[{""channel"": ""google"", ""timestamp"": ""2024-01-01""}, {""channel"": ""email"", ""timestamp"": ""2024-01-05""}, {""channel"": ""website"", ""timestamp"": ""2024-01-07""}]",6,facebook,website,"{""email"": 1.0}","{""google"": 1.0}","{""google"": 0.33, ""email"": 0.33, ""website"": 0.34}","{""google"": 0.2, ""email"": 0.3, ""website"": 0.5}",ORD_83231,"[42, 2]",6.0,2025-11-16 13:50:49.179044
6,80d9e10b-bc2f-4e6a-ac30-b833c9e8c1fa,226,purchase,115.79,BRL,"[{""channel"": ""google"", ""timestamp"": ""2024-01-01""}, {""channel"": ""email"", ""timestamp"": ""2024-01-05""}, {""channel"": ""website"", ""timestamp"": ""2024-01-07""}]",6,facebook,email,"{""email"": 1.0}","{""google"": 1.0}","{""google"": 0.33, ""email"": 0.33, ""website"": 0.34}","{""google"": 0.2, ""email"": 0.3, ""website"": 0.5}",ORD_14025,"[100, 63]",,2025-10-31 13:50:49.179064
7,80d9e10b-bc2f-4e6a-ac30-b833c9e8c1fa,226,signup,1898.56,BRL,"[{""channel"": ""google"", ""timestamp"": ""2024-01-01""}, {""channel"": ""email"", ""timestamp"": ""2024-01-05""}, {""channel"": ""website"", ""timestamp"": ""2024-01-07""}]",9,instagram,whatsapp,"{""email"": 1.0}","{""google"": 1.0}","{""google"": 0.33, ""email"": 0.33, ""website"": 0.34}","{""google"": 0.2, ""email"": 0.3, ""website"": 0.5}",ORD_68322,[17],7.0,2025-10-22 13:50:49.179085
8,80d9e10b-bc2f-4e6a-ac30-b833c9e8c1fa,226,purchase,595.82,BRL,"[{""channel"": ""google"", ""timestamp"": ""2024-01-01""}, {""channel"": ""email"", ""timestamp"": ""2024-01-05""}, {""channel"": ""website"", ""timestamp"": ""2024-01-07""}]",4,instagram,email,"{""email"": 1.0}","{""google"": 1.0}","{""google"": 0.33, ""email"": 0.33, ""website"": 0.34}","{""google"": 0.2, ""email"": 0.3, ""website"": 0.5}",ORD_42439,"[35, 29]",,2025-11-25 13:50:49.179124
9,55f4ddcd-ab62-4e03-bd50-2b2c0053dbf7,226,signup,1986.74,BRL,"[{""channel"": ""google"", ""timestamp"": ""2024-01-01""}, {""channel"": ""email"", ""timestamp"": ""2024-01-05""}, {""channel"": ""website"", ""timestamp"": ""2024-01-07""}]",9,google,website,"{""email"": 1.0}","{""google"": 1.0}","{""google"": 0.33, ""email"": 0.33, ""website"": 0.34}","{""google"": 0.2, ""email"": 0.3, ""website"": 0.5}",ORD_57836,"[66, 64, 26, 34, 41]",,2025-11-11 13:50:49.179148
10,55f4ddcd-ab62-4e03-bd50-2b2c0053dbf7,226,lead,370.36,BRL,"[{""channel"": ""google"", ""timestamp"": ""2024-01-01""}, {""channel"": ""email"", ""timestamp"": ""2024-01-05""}, {""channel"": ""website"", ""timestamp"": ""2024-01-07""}]",4,google,whatsapp,"{""email"": 1.0}","{""google"": 1.0}","{""google"": 0.33, ""email"": 0.33, ""website"": 0.34}","{""google"": 0.2, ""email"": 0.3, ""website"": 0.5}",ORD_36340,[62],5.0,2025-10-27 13:50:49.179174
