tenant_id,score,created_at
1,10,2025-07-31T12:53:12.999Z
1,8,2025-06-05T02:01:31.153Z
1,8,2025-02-22T21:57:29.879Z
1,9,2025-09-23T22:44:53.738Z
1,9,2025-06-21T05:21:39.110Z
1,9,2025-09-07T17:59:03.526Z
1,10,2025-05-29T02:46:49.817Z
1,10,2025-11-02T14:05:39.973Z
1,9,2025-09-09T12:25:02.023Z
1,9,2025-02-19T21:51:31.469Z
1,8,2025-02-06T17:11:49.104Z
1,8,2025-06-04T03:33:13.701Z
1,9,2025-07-08T14:01:14.841Z
1,8,2025-02-15T16:46:59.648Z
1,8,2025-01-24T02:11:15.393Z
1,8,2025-04-20T04:04:57.839Z
1,9,2025-04-16T14:34:53.286Z
1,10,2025-08-29T19:29:55.207Z
1,8,2025-04-22T00:31:11.639Z
1,8,2025-07-06T01:38:01.460Z
1,9,2025-08-27T08:42:39.967Z
1,10,2025-08-01T08:12:19.126Z
1,10,2025-02-12T10:01:24.987Z
1,9,2025-01-04T11:47:38.664Z
1,8,2025-03-07T06:46:05.379Z
1,10,2025-01-16T19:01:16.419Z
1,9,2025-02-01T09:34:42.870Z
1,8,2025-04-09T08:17:48.473Z
1,10,2025-08-10T00:34:45.628Z
1,8,2025-08-21T18:42:47.388Z
1,9,2025-04-10T15:37:08.667Z
1,8,2025-08-11T01:46:49.065Z
1,10,2025-08-29T09:23:07.211Z
1,10,2025-08-23T14:34:53.869Z
1,9,2025-02-01T02:39:48.213Z
1,9,2025-02-11T18:42:10.336Z
1,10,2025-11-01T17:05:49.845Z
1,9,2025-09-27T05:23:51.541Z
1,8,2025-01-04T01:56:53.182Z
1,9,2025-10-16T20:40:01.266Z
1,8,2025-11-05T08:26:35.466Z
1,10,2025-06-19T01:42:17.980Z
1,10,2025-09-03T15:04:30.821Z
1,8,2025-04-22T06:45:21.019Z
1,9,2025-05-22T06:37:39.698Z
1,9,2025-02-23T05:17:24.880Z
1,10,2025-08-29T01:47:09.787Z
1,10,2025-02-09T15:19:26.433Z
1,10,2025-02-17T07:19:45.399Z
1,8,2025-08-15T20:08:46.355Z
1,10,2025-05-11T20:15:53.695Z
1,8,2025-03-25T11:32:49.249Z
1,9,2025-05-04T06:03:05.146Z
1,9,2025-03-25T11:36:34.350Z
1,9,2025-04-20T10:59:33.523Z
1,9,2025-02-02T02:03:53.695Z
1,10,2025-11-23T16:36:25.727Z
1,8,2025-07-29T02:01:52.661Z
1,10,2025-05-29T15:39:43.292Z
1,9,2025-01-19T01:37:12.256Z
1,9,2025-08-09T05:24:07.144Z
1,10,2025-08-24T22:31:12.966Z
1,10,2025-11-30T06:20:33.346Z
1,10,2025-10-03T21:55:57.806Z
1,10,2025-04-29T11:10:07.007Z
1,10,2025-06-19T20:25:59.815Z
1,9,2025-01-29T16:29:55.588Z
1,9,2025-07-26T04:49:25.690Z
1,8,2025-08-22T08:26:58.473Z
1,9,2025-09-22T22:33:50.474Z
1,9,2025-12-04T15:11:15.463Z
1,10,2025-07-28T22:20:13.373Z
1,10,2025-06-16T02:07:53.806Z
1,8,2025-05-07T19:28:18.207Z
1,10,2025-03-23T08:15:32.840Z
1,8,2025-08-07T19:01:26.368Z
1,9,2025-07-23T13:13:00.258Z
1,8,2025-01-16T11:44:31.608Z
1,8,2025-04-08T04:29:38.294Z
1,10,2025-05-15T12:53:47.420Z
1,9,2025-03-13T00:47:36.785Z
1,8,2025-02-05T15:39:52.271Z
1,8,2025-06-05T06:57:33.198Z
1,10,2025-09-07T14:48:24.681Z
1,10,2025-04-01T09:30:32.316Z
1,9,2025-08-22T13:58:04.707Z
1,10,2025-02-15T16:58:35.905Z
1,8,2025-11-20T17:30:48.230Z
1,8,2025-02-10T20:54:23.396Z
1,9,2025-06-07T03:00:18.088Z
1,8,2025-07-31T16:45:27.766Z
1,10,2025-07-31T10:34:59.736Z
1,10,2025-05-07T18:49:42.295Z
1,8,2025-02-27T21:19:08.028Z
1,10,2025-03-22T22:17:31.834Z
1,9,2025-05-11T00:26:27.225Z
1,10,2025-08-17T10:35:47.073Z
1,9,2025-11-03T22:33:24.947Z
1,10,2025-01-13T02:45:40.839Z
1,10,2025-02-11T17:39:47.025Z
1,10,2025-11-04T17:29:54.479Z
1,9,2025-03-12T13:22:45.960Z
1,9,2025-03-20T22:38:58.803Z
1,8,2025-11-25T03:20:27.663Z
1,8,2025-10-04T03:51:00.892Z
1,8,2025-08-20T15:37:18.808Z
1,8,2025-01-26T05:51:15.052Z
1,10,2025-10-07T23:02:46.840Z
1,9,2025-01-29T21:34:43.515Z
1,8,2025-04-11T06:15:51.690Z
1,10,2025-11-06T04:53:26.404Z
1,10,2025-02-11T14:44:30.812Z
1,10,2025-07-05T05:02:37.499Z
1,8,2025-03-12T14:52:27.351Z
1,10,2025-07-03T13:42:28.098Z
1,8,2025-11-26T02:26:01.277Z
1,9,2025-04-09T06:47:52.320Z
1,10,2025-02-11T18:41:40.652Z
1,9,2025-06-08T17:35:46.759Z
1,9,2025-03-03T06:27:35.645Z
1,8,2025-12-06T16:55:00.888Z
1,9,2025-04-07T17:37:32.527Z
1,9,2025-01-05T15:15:19.126Z
1,9,2025-07-29T00:17:26.233Z
1,8,2025-03-16T08:10:27.135Z
1,10,2025-10-02T01:27:44.675Z
1,10,2025-08-15T15:36:40.542Z
1,8,2025-11-24T02:54:04.927Z
1,9,2025-03-12T12:27:18.035Z
1,8,2025-06-13T07:43:32.042Z
1,10,2025-08-13T07:06:28.212Z
1,9,2025-03-23T11:16:39.657Z
1,8,2025-06-06T05:13:58.328Z
1,9,2025-08-19T00:31:35.307Z
