id,experiment_id,period,revenue,expenses,profit,profit_margin,cashflow,predicted_revenue,revenue_trend,expense_breakdown,financial_forecast
a643ce21-fe39-466c-aedf-ea58c26267be,cb785ad2-5018-47c3-afb2-b24872f269bd,monthly,2016384.84,1360237.51,656147.3300000001,0.3254,709546.28,2359554.81,"[{""month"": 0, ""value"": 2016384.84}, {""month"": 1, ""value"": 2056712.54}, {""month"": 2, ""value"": 2097040.23}, {""month"": 3, ""value"": 2137367.93}, {""month"": 4, ""value"": 2177695.63}, {""month"": 5, ""value"": 2218023.32}, {""month"": 6, ""value"": 2258351.02}, {""month"": 7, ""value"": 2298678.72}, {""month"": 8, ""value"": 2339006.41}, {""month"": 9, ""value"": 2379334.11}, {""month"": 10, ""value"": 2419661.81}, {""month"": 11, ""value"": 2459989.5}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 2016384.84}, {""month"": 1, ""revenue"": 2076876.39}, {""month"": 2, ""revenue"": 2137367.93}, {""month"": 3, ""revenue"": 2197859.48}, {""month"": 4, ""revenue"": 2258351.02}, {""month"": 5, ""revenue"": 2318842.57}]"
68878a52-0936-4f8f-a635-cac86946c86b,ef7890d7-7066-48ae-b297-c0b5dc6dbc3e,monthly,1017827.28,674659.03,343168.25,0.3372,330141.9,1119358.74,"[{""month"": 0, ""value"": 1017827.28}, {""month"": 1, ""value"": 1038183.83}, {""month"": 2, ""value"": 1058540.37}, {""month"": 3, ""value"": 1078896.92}, {""month"": 4, ""value"": 1099253.46}, {""month"": 5, ""value"": 1119610.01}, {""month"": 6, ""value"": 1139966.55}, {""month"": 7, ""value"": 1160323.1}, {""month"": 8, ""value"": 1180679.64}, {""month"": 9, ""value"": 1201036.19}, {""month"": 10, ""value"": 1221392.74}, {""month"": 11, ""value"": 1241749.28}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 1017827.28}, {""month"": 1, ""revenue"": 1048362.1}, {""month"": 2, ""revenue"": 1078896.92}, {""month"": 3, ""revenue"": 1109431.74}, {""month"": 4, ""revenue"": 1139966.55}, {""month"": 5, ""revenue"": 1170501.37}]"
c292a378-d176-4525-bf17-4b7ddd2be294,1a559f39-d815-4dbe-b9ef-ddac8419cfc2,monthly,1110182.24,820997.73,289184.51,0.2605,283660.6,1343342.86,"[{""month"": 0, ""value"": 1110182.24}, {""month"": 1, ""value"": 1132385.88}, {""month"": 2, ""value"": 1154589.53}, {""month"": 3, ""value"": 1176793.17}, {""month"": 4, ""value"": 1198996.82}, {""month"": 5, ""value"": 1221200.46}, {""month"": 6, ""value"": 1243404.11}, {""month"": 7, ""value"": 1265607.75}, {""month"": 8, ""value"": 1287811.4}, {""month"": 9, ""value"": 1310015.04}, {""month"": 10, ""value"": 1332218.69}, {""month"": 11, ""value"": 1354422.33}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 1110182.24}, {""month"": 1, ""revenue"": 1143487.71}, {""month"": 2, ""revenue"": 1176793.17}, {""month"": 3, ""revenue"": 1210098.64}, {""month"": 4, ""revenue"": 1243404.11}, {""month"": 5, ""revenue"": 1276709.58}]"
afb85ef2-6306-46fd-bdc8-4f4a536c14d0,cb4d21f6-283e-4095-b129-3406a75f3abd,monthly,2772970.09,1713396.54,1059573.5499999998,0.3821,955703.86,3038374.85,"[{""month"": 0, ""value"": 2772970.09}, {""month"": 1, ""value"": 2828429.49}, {""month"": 2, ""value"": 2883888.89}, {""month"": 3, ""value"": 2939348.3}, {""month"": 4, ""value"": 2994807.7}, {""month"": 5, ""value"": 3050267.1}, {""month"": 6, ""value"": 3105726.5}, {""month"": 7, ""value"": 3161185.9}, {""month"": 8, ""value"": 3216645.3}, {""month"": 9, ""value"": 3272104.71}, {""month"": 10, ""value"": 3327564.11}, {""month"": 11, ""value"": 3383023.51}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 2772970.09}, {""month"": 1, ""revenue"": 2856159.19}, {""month"": 2, ""revenue"": 2939348.3}, {""month"": 3, ""revenue"": 3022537.4}, {""month"": 4, ""revenue"": 3105726.5}, {""month"": 5, ""revenue"": 3188915.6}]"
471d21f2-a9f8-4566-95a4-727cd2714da6,7e8a1213-f6c6-4fe3-9cbf-1392d55c2468,monthly,1696326.88,1074976.48,621350.3999999999,0.3663,709245.87,1999972.43,"[{""month"": 0, ""value"": 1696326.88}, {""month"": 1, ""value"": 1730253.42}, {""month"": 2, ""value"": 1764179.96}, {""month"": 3, ""value"": 1798106.49}, {""month"": 4, ""value"": 1832033.03}, {""month"": 5, ""value"": 1865959.57}, {""month"": 6, ""value"": 1899886.11}, {""month"": 7, ""value"": 1933812.64}, {""month"": 8, ""value"": 1967739.18}, {""month"": 9, ""value"": 2001665.72}, {""month"": 10, ""value"": 2035592.26}, {""month"": 11, ""value"": 2069518.79}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 1696326.88}, {""month"": 1, ""revenue"": 1747216.69}, {""month"": 2, ""revenue"": 1798106.49}, {""month"": 3, ""revenue"": 1848996.3}, {""month"": 4, ""revenue"": 1899886.11}, {""month"": 5, ""revenue"": 1950775.91}]"
33148866-c229-439b-a2e8-847363cddccc,0d7c8f71-eb44-4985-9544-e0062fe27738,monthly,2614756.37,2080907.57,533848.8,0.2042,504929.54,3143308.58,"[{""month"": 0, ""value"": 2614756.37}, {""month"": 1, ""value"": 2667051.5}, {""month"": 2, ""value"": 2719346.62}, {""month"": 3, ""value"": 2771641.75}, {""month"": 4, ""value"": 2823936.88}, {""month"": 5, ""value"": 2876232.01}, {""month"": 6, ""value"": 2928527.13}, {""month"": 7, ""value"": 2980822.26}, {""month"": 8, ""value"": 3033117.39}, {""month"": 9, ""value"": 3085412.52}, {""month"": 10, ""value"": 3137707.64}, {""month"": 11, ""value"": 3190002.77}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 2614756.37}, {""month"": 1, ""revenue"": 2693199.06}, {""month"": 2, ""revenue"": 2771641.75}, {""month"": 3, ""revenue"": 2850084.44}, {""month"": 4, ""revenue"": 2928527.13}, {""month"": 5, ""revenue"": 3006969.83}]"
dc9d6ffc-f90d-41a8-ad1e-c57f14847c23,4d1ff1ce-8b6e-4cf6-8c67-717ba332d72d,monthly,730941.95,540211.83,190730.12,0.2609,156403.66,779075.26,"[{""month"": 0, ""value"": 730941.95}, {""month"": 1, ""value"": 745560.79}, {""month"": 2, ""value"": 760179.63}, {""month"": 3, ""value"": 774798.47}, {""month"": 4, ""value"": 789417.31}, {""month"": 5, ""value"": 804036.15}, {""month"": 6, ""value"": 818654.98}, {""month"": 7, ""value"": 833273.82}, {""month"": 8, ""value"": 847892.66}, {""month"": 9, ""value"": 862511.5}, {""month"": 10, ""value"": 877130.34}, {""month"": 11, ""value"": 891749.18}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 730941.95}, {""month"": 1, ""revenue"": 752870.21}, {""month"": 2, ""revenue"": 774798.47}, {""month"": 3, ""revenue"": 796726.73}, {""month"": 4, ""revenue"": 818654.98}, {""month"": 5, ""revenue"": 840583.24}]"
a67b7114-a337-4ecc-aed8-a5934e719bf1,d145ff4b-f06e-4675-a7f5-f424cca16924,monthly,1632752.08,1075380.42,557371.6600000001,0.3414,637298.81,1805338.37,"[{""month"": 0, ""value"": 1632752.08}, {""month"": 1, ""value"": 1665407.12}, {""month"": 2, ""value"": 1698062.16}, {""month"": 3, ""value"": 1730717.2}, {""month"": 4, ""value"": 1763372.25}, {""month"": 5, ""value"": 1796027.29}, {""month"": 6, ""value"": 1828682.33}, {""month"": 7, ""value"": 1861337.37}, {""month"": 8, ""value"": 1893992.41}, {""month"": 9, ""value"": 1926647.45}, {""month"": 10, ""value"": 1959302.5}, {""month"": 11, ""value"": 1991957.54}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 1632752.08}, {""month"": 1, ""revenue"": 1681734.64}, {""month"": 2, ""revenue"": 1730717.2}, {""month"": 3, ""revenue"": 1779699.77}, {""month"": 4, ""revenue"": 1828682.33}, {""month"": 5, ""revenue"": 1877664.89}]"
0c993cf2-3bb7-4629-a201-020216ce6723,694c0ff4-68ab-4624-8790-c93c4d7a8632,monthly,1072721.67,710484.66,362237.0099999999,0.3377,365208.51,1176092.48,"[{""month"": 0, ""value"": 1072721.67}, {""month"": 1, ""value"": 1094176.1}, {""month"": 2, ""value"": 1115630.54}, {""month"": 3, ""value"": 1137084.97}, {""month"": 4, ""value"": 1158539.4}, {""month"": 5, ""value"": 1179993.84}, {""month"": 6, ""value"": 1201448.27}, {""month"": 7, ""value"": 1222902.7}, {""month"": 8, ""value"": 1244357.14}, {""month"": 9, ""value"": 1265811.57}, {""month"": 10, ""value"": 1287266.0}, {""month"": 11, ""value"": 1308720.44}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 1072721.67}, {""month"": 1, ""revenue"": 1104903.32}, {""month"": 2, ""revenue"": 1137084.97}, {""month"": 3, ""revenue"": 1169266.62}, {""month"": 4, ""revenue"": 1201448.27}, {""month"": 5, ""revenue"": 1233629.92}]"
21b451c5-301c-45ae-b93d-9e61152c7948,c8fbef86-1749-4c27-be3f-4d5cc1621f07,monthly,2884597.21,2273933.05,610664.1600000001,0.2117,531508.39,3344943.47,"[{""month"": 0, ""value"": 2884597.21}, {""month"": 1, ""value"": 2942289.15}, {""month"": 2, ""value"": 2999981.1}, {""month"": 3, ""value"": 3057673.04}, {""month"": 4, ""value"": 3115364.99}, {""month"": 5, ""value"": 3173056.93}, {""month"": 6, ""value"": 3230748.88}, {""month"": 7, ""value"": 3288440.82}, {""month"": 8, ""value"": 3346132.76}, {""month"": 9, ""value"": 3403824.71}, {""month"": 10, ""value"": 3461516.65}, {""month"": 11, ""value"": 3519208.6}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 2884597.21}, {""month"": 1, ""revenue"": 2971135.13}, {""month"": 2, ""revenue"": 3057673.04}, {""month"": 3, ""revenue"": 3144210.96}, {""month"": 4, ""revenue"": 3230748.88}, {""month"": 5, ""revenue"": 3317286.79}]"
9458488c-4e2f-4109-a327-0d52098defab,075ae4f4-52bd-473f-b9cd-eadf7ec8defc,monthly,2737305.01,1771718.05,965586.9599999997,0.3528,1084442.5,2981135.93,"[{""month"": 0, ""value"": 2737305.01}, {""month"": 1, ""value"": 2792051.11}, {""month"": 2, ""value"": 2846797.21}, {""month"": 3, ""value"": 2901543.31}, {""month"": 4, ""value"": 2956289.41}, {""month"": 5, ""value"": 3011035.51}, {""month"": 6, ""value"": 3065781.61}, {""month"": 7, ""value"": 3120527.71}, {""month"": 8, ""value"": 3175273.81}, {""month"": 9, ""value"": 3230019.91}, {""month"": 10, ""value"": 3284766.01}, {""month"": 11, ""value"": 3339512.11}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 2737305.01}, {""month"": 1, ""revenue"": 2819424.16}, {""month"": 2, ""revenue"": 2901543.31}, {""month"": 3, ""revenue"": 2983662.46}, {""month"": 4, ""revenue"": 3065781.61}, {""month"": 5, ""revenue"": 3147900.76}]"
c6ab2240-4780-45ba-8d54-d92d6341ea26,8efc0726-9286-44cc-b384-05b95fa98974,monthly,668455.26,414644.18,253811.08000000002,0.3797,286023.74,725772.7,"[{""month"": 0, ""value"": 668455.26}, {""month"": 1, ""value"": 681824.37}, {""month"": 2, ""value"": 695193.47}, {""month"": 3, ""value"": 708562.58}, {""month"": 4, ""value"": 721931.68}, {""month"": 5, ""value"": 735300.79}, {""month"": 6, ""value"": 748669.89}, {""month"": 7, ""value"": 762039.0}, {""month"": 8, ""value"": 775408.1}, {""month"": 9, ""value"": 788777.21}, {""month"": 10, ""value"": 802146.31}, {""month"": 11, ""value"": 815515.42}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 668455.26}, {""month"": 1, ""revenue"": 688508.92}, {""month"": 2, ""revenue"": 708562.58}, {""month"": 3, ""revenue"": 728616.23}, {""month"": 4, ""revenue"": 748669.89}, {""month"": 5, ""revenue"": 768723.55}]"
87380269-718c-4033-8fab-bfcbdcdc2473,440027d2-c54c-4f76-b753-f79cf0a7381c,monthly,2308021.24,1455308.3,852712.9400000002,0.3695,1000112.93,2536813.79,"[{""month"": 0, ""value"": 2308021.24}, {""month"": 1, ""value"": 2354181.66}, {""month"": 2, ""value"": 2400342.09}, {""month"": 3, ""value"": 2446502.51}, {""month"": 4, ""value"": 2492662.94}, {""month"": 5, ""value"": 2538823.36}, {""month"": 6, ""value"": 2584983.79}, {""month"": 7, ""value"": 2631144.21}, {""month"": 8, ""value"": 2677304.64}, {""month"": 9, ""value"": 2723465.06}, {""month"": 10, ""value"": 2769625.49}, {""month"": 11, ""value"": 2815785.91}]","{""marketing"": 0.3, ""operations"": 0.4, ""personnel"": 0.25, ""others"": 0.05}","[{""month"": 0, ""revenue"": 2308021.24}, {""month"": 1, ""revenue"": 2377261.88}, {""month"": 2, ""revenue"": 2446502.51}, {""month"": 3, ""revenue"": 2515743.15}, {""month"": 4, ""revenue"": 2584983.79}, {""month"": 5, ""revenue"": 2654224.43}]"
